ሀም	h1m6	h a m
አናግራለሁ	?1n4g6r4l1h2	? a n . n a g . g 1 . r a l . l @ . h u
አናግራታለሁ	?1n4g6r4t4l1h2	? a n . n a g . g 1 . r a . t a l . l @ . h u
አናግራታለሁኝ	?1n4g6r4t4l1h2J6	? a n . n a g . g 1 . r a . t a l . l @ . h u J J
አናግሬ	?1n4g6r5	? a n . n a . g 1 r . r e
አናግሮኛል	?1n4g6r7J4l6	? a n . n a g . r o J . J a l
አንሂድ	?1n6h3d6	? a n . n 1 . h i d
አንሰራም	?1n6s1r4m6	? a n . n 1 s . s @ r . r a m m	? a n . s @ . r a m m
አንሱኝ	?1n6s2J6	? a n . s u J J
አንስተሽ	?1n6s6t1sh6	? a n . s 1 . t @ S
አንስቶ	?1n6s6t7	? a n . s 1 . t o
አንስቶላት	?1n6s6t7l4t6	? a n . s 1 . t o l . l a t
አንስቼ	?1n6s6c5	? a n . s 1 tS . tS e
አንበጣ	?1n6b1T4	? a n . b @ t> . t> a
አንበጣው	?1n6b1T4w6	? a n . b @ t> . t> a w
አንበጣውማ	?1n6b1T4w6m4	? a n . b @ t> . t> a . w 1 m . m a
አንበጣውም	?1n6b1T4w6m6	? a n . b @ t> . t> a . w 1 m m
አንባባል	?1n6b4b4l6	? a n . n 1 b . b a . b a l
አንብበሽ	?1n6b6b1sh6	? a n . b 1 . b @ S
አንብቢ	?1n6b6b3	? a n . b 1 . b i
አንብቤያለሁ	?1n6b6b5y4l1h2	? a n . b 1 b . b e . j a l . l @ . h u
አንብቦ	?1n6b6b7	? a n . b 1 . b o
አንተ	?1n6t1	? a n . t @
አንተማ	?1n6t1m4	? a n . t @ m . m a
አንተም	?1n6t1m6	? a n . t @ m m
አንተሳ	?1n6t1s4	? a n . t @ s . s a
አንተስ	?1n6t1s6	? a n . t @ s s
አንተና	?1n6t1n4	? a n . t @ n . n a
አንተን	?1n6t1n6	? a n . t @ n
አንተኮ	?1n6t1k7	? a n . t @ k . k o
አንቺ	?1n6c3	? a n . tS i
አንቺማ	?1n6c3m4	? a n . tS i m . m a
አንቺም	?1n6c3m6	? a n . tS i m m
አንቺስ	?1n6c3s6	? a n . tS i s s
አንቺና	?1n6c3n4	? a n . tS i n . n a
አንቺን	?1n6c3n6	? a n . tS i n
አንቺንም	?1n6c3n6m6	? a n . tS i . n 1 m m
አንቺው	?1n6c3w6	? a n . tS i w
አንቺዬ	?1n6c3y5	? a n . tS i j . j e
አንቺዬዋ	?1n6c3y5w4	? a n . tS i j . j e w . w a
አንችልም	?1n6c6l6m6	? a n . tS 1 . l 1 m m
አንኳኩቼ	?1n6kw4k2c5	? a n . kw a . k u tS . tS e
አንወጣም	?1n6w1T4m6	? a n . n 1 w . w @ t> . t> a m m	? a n . w @ . t> a m m
አንይዘውም	?1n6y6z1w6m6	? a n . n 1 . j 1 . z @ . w 1 m
አንደር	?1n6d1r6	? a n . n 1 . d @ r
አንደርስብህም	?1n6d1r6s6b6h6m6	? a n . d @ r . s 1 b . b 1 . h 1 m m
አንደርስታንድ	?1n6d1r6s6t4n6d6	? a n . d @ . r 1 s . t a n d
አንደኛ	?1n6d1J4	? a n . d @ J . J a
አንደኛዋ	?1n6d1J4w4	? a n . d @ J . J a . w a
አንደኛው	?1n6d1J4w6	? a n . d @ J . J a w
አንደኛውማ	?1n6d1J4w6m4	? a n . d @ J . J a . w 1 m . m a
አንደኛውን	?1n6d1J4w6n6	? a n . d @ J . J a . w 1 n
አንዱ	?1n6d2	? a n . d u
አንዱማ	?1n6d2m4	? a n . d u m . m a
አንዱን	?1n6d2n6	? a n . d u n
አንዲት	?1n6d3t6	? a n . d i t
አንዳርጋቸው	?1n6d4r6g4c1w6	? a n . d a r . g a tS . tS @ w
አንዳችን	?1n6d4c6n6	? a n . d a tS . tS 1 n
አንዳንዱ	?1n6d4n6d2	? a n . d a n . d u
አንዳንዴ	?1n6d4n6d5	? a n . d a n . d e
አንዳንዴም	?1n6d4n6d5m6	? a n . d a n . d e m m
አንዳንድ	?1n6d4n6d6	? a n . d a n d
አንዴ	?1n6d5	? a n . d e
አንድ	?1n6d6	? a n d
አንድማ	?1n6d6m4	? a n . d 1 m . m a
አንድም	?1n6d6m6	? a n . d 1 m m	? a n . n 1 . d 1 m m
አንድን	?1n6d6n6	? a n . d 1 n
አንዷ	?1n6dw4	? a n . dw a
አንዷን	?1n6dw4n6	? a n . dw a n
አንገቱን	?1n6g1t2n6	? a n . g @ . t u n
አንገናኝ	?1n6g1n4J6	? a n . n 1 g . g @ . n a J J
አንገናኝም	?1n6g1n4J6m6	? a n . n 1 g . g @ . n a J . J 1 m m
አንገኝም	?1n6g1J6m6	? a n . n 1 g . g @ J . J 1 m m
አንጓችዬ	?1n6gw4c6y5	? a n . gw a . tS 1 j . j e
አንጡ	?1n6T2	? a n . n 1 . t> u
አንፃሬ	?1n6tz4r5	? a n . s> a . r e
አንፃር	?1n6tz4r6	? a n . s> a r
አከራዬ	?1k1r4y5	? a k . k @ . r a . j e
አከፋፍለሽ	?1k1f4f6l1sh6	? a k . k @ . f a f . l @ S
አኩርፎ	?1k2r6f7	? a . k u r . f o
አኩርፎሀል	?1k2r6f7h1l6	? a . k u r . f o . h a l
አካል	?1k4l6	? a . k a l
አካበድሽ	?1k4b1d6sh6	? a k . k a b . b @ . d 1 S
አካባቢ	?1k4b4b3	? a k . k a . b a . b i
አካብዴ	?1k4b6d5	? a k . k a b . d e
አካውንቲንግ	?1k4w6n6t3n6g6	? a k . k a . w 1 n . t i n g
አካውንቲንግማ	?1k4w6n6t3n6g6m4	? a k . k a w n . t i n . g 1 . m a
አክሎክ	?1k6l7k6	? a k . l o k
አክሎክን	?1k6l7k6n6	? a k . l o . k 1 n
አክሱም	?1k6s2m6	? a k . s u m
አክሴፕት	?1k6s5p6t6	? a k . s e . p 1 t
አክስቴ	?1k6s6t5	? a . k 1 s . t e
አክስቴን	?1k6s6t5n6	? a . k 1 s . t e n
አክስቴንም	?1k6s6t5n6m6	? a . k 1 s . t e . n 1 m m
አክስትሽ	?1k6s6t6sh6	? a . k 1 s . t 1 S
አክስቷ	?1k6s6tw4	? a . k 1 s . tw a
አክቱ	?1k6t2	? a k . t u
አክቹዋሊ	?1k6c2w4l3	? a k . tS u . w a . l i
አወል	?1w1l6	? a w . w @ l
አወራሁ	?1w1r4h2	? a . w @ r . r a . h u
አወራሁሽ	?1w1r4h2sh6	? a . w @ r . r a . h u S
አወራህ	?1w1r4h6	? a . w @ r . r a h
አወራለሁ	?1w1r4l1h2	? a . w @ . r a l . l @ . h u
አወራሻለሁ	?1w1r4sh4l1h2	? a . w @ . r a . S a l . l @ . h u
አወራታለሁ	?1w1r4t4l1h2	? a . w @ . r a . t a l . l @ . h u
አወራን	?1w1r4n6	? a . w @ r . r a n
አወቀ	?1w1K1	? a w . w @ . k> @
አወኩት	?1w1k2t6	? a w . w @ k . k u t
አወያይሻለሁ	?1w1y4y6sh4l1h2	? a w . w @ . j a j . j 1 . S a l . l @ . h u
አወይ	?1w1y6	? a w . w @ j
አወጣለሁ	?1w1T4l1h2	? a . w @ . t> a l . l @ . h u
አወጣሽለት	?1w1T4sh6l1t6	? a . w @ t> . t> a . S 1 l . l @ t
አወጣችሁ	?1w1T4c6h2	? a . w @ t> . t> a tS . tS 1 . h u
አወጣችሁለት	?1w1T4c6h2l1t6	? a . w @ t> . t> a tS . tS 1 . h u l . l @ t
አዋ	?1w4	? a . w a
አዋሪኝ	?1w4r3J6	? a w . w a . r i J J
አዋራታለሁ	?1w4r4t4l1h2	? a w . w a r . r a . t a l . l @ . h u
አዋራኛ	?1w4r4J4	? a w . w a . r a J . J a
አዋራኝ	?1w4r4J6	? a w . w a . r a J J
አዋርቼው	?1w4r6c5w6	? a w . w a . r 1 tS . tS e w
አዋቂ	?1w4K3	? a . w a . k> i
አዋተን	?1w4t1n6	? a w . w a t . t @ n
አዋተንም	?1w4t1n6m6	? a w . w a t . t @ . n 1 m m
አዋዬ	?1w4y5	? a w . w a j . j e
አውሪ	?1w6r3	? a w . r i
አውሪና	?1w6r3n4	? a w . r i n . n a
አውሪኛ	?1w6r3J4	? a w . r i J . J a
አውሪኝ	?1w6r3J6	? a w . r i J J
አውሪዋ	?1w6r3w4	? a w . r i . w a
አውሪው	?1w6r3w6	? a w . r i w
አውሪያ	?1w6r3y4	? a w . r i . j a
አውራ	?1w6r4	? a w . r a
አውራኝ	?1w6r4J6	? a w . r a J J
አውራጅ	?1w6r4j6	? a w . r a dZ
አውሬ	?1w6r5	? a w . r e
አውርተን	?1w6r6t1n6	? a w . r 1 . t @ n
አውርቶ	?1w6r6t7	? a w . r 1 . t o
አውርቻታለሁ	?1w6r6c4t4l1h2	? a w . r 1 tS . tS a . t a l . l @ . h u
አውቀኸኛል	?1w6K1kx1J4l6	? a w . k> @ . h @ J . J a l
አውቀዋለሁ	?1w6K1w4l1h2	? a w . k> @ . w a l . l @ . h u
አውቀዋል	?1w6K1w4l6	? a w . k> @ . w a l
አውቃ	?1w6K4	? a w . k> a
አውቃለሁ	?1w6K4l1h2	? a w . k> a l . l @ . h u
አውቃለሁኝ	?1w6K4l1h2J6	? a w . k> a l . l @ . h u J J
አውቄ	?1w6K5	? a . w 1 k> . k> e
አውቄሀለሁ	?1w6K5h1l1h2	? a . w 1 k> . k> e . h a l . l @ . h u
አውቄባት	?1w6K5b4t6	? a . w 1 k> . k> e b . b a t
አውቆ	?1w6K7	? a w . k> o
አውቶ	?1w6t7	? a w . t o
አውግስታ	?1w6g6s6t4	? a w . g 1 s . t a
አውጡልን	?1w6T2l6n6	? a w . t> u l . l 1 n
አውጣ	?1w6T4	? a w . t> a
አውጣን	?1w6T4n6	? a w . t> a n
አውጥተሽ	?1w6T6t1sh6	? a w . t> 1 . t @ S
አውጥተውለታል	?1w6T6t1w6l1t4l6	? a w . t> 1 . t @ . w 1 l . l @ . t a l
አውጥቶ	?1w6T6t7	? a w . t> 1 . t o
አውጥቶት	?1w6T6t7t6	? a w . t> 1 . t o t
አውጥቻለሁ	?1w6T6c4l1h2	? a w . t> 1 tS . tS a l . l @ . h u
አውጥቼ	?1w6T6c5	? a w . t> 1 tS . tS e
አዎ	?1w7	? a . w o
አዎን	?1w7n6	? a . w o n
አዘር	?1z1r6	? a . z @ r
አዘነች	?1z1n1c6	? a z . z @ . n @ tS tS
አዘዘችኝ	?1z1z1c6J6	? a z . z @ . z @ tS . tS 1 J J
አዘገጃጅተን	?1z1g1j4j6t1n6	? a z . z @ . g @ . dZ a dZ . t @ n
አዘጋጅልሻለሁ	?1z1g4j6l6sh4l1h2	? a z . z @ . g a dZ . dZ 1 l . l 1 . S a l . l @ . h u
አዘጋጅታልናለች	?1z1g4j6t4l6n4l1c6	? a z . z @ . g a dZ . t a l . l 1 . n a l . l @ tS tS
አዘጋጅቼ	?1z1g4j6c5	? a z . z @ . g a . dZ 1 tS . tS e
አዘጋጅና	?1z1g4j6n4	? a z . z @ . g a . dZ 1 n . n a
አዚዛ	?1z3z4	? a . z i . z a
አዚዛስ	?1z3z4s6	? a . z i . z a s s
አዚዛን	?1z3z4n6	? a . z i . z a n
አዛኝ	?1z4J6	? a . z a J J	? a z . z a J J
አዜብ	?1z5b6	? a . z e b
አዝመራ	?1z6m1r4	? a z . m @ . r a
አዝመራው	?1z6m1r4w6	? a z . m @ . r a w
አዝመራውም	?1z6m1r4w6m6	? a z . m @ . r a . w 1 m m
አዝመራውን	?1z6m1r4w6n6	? a z . m @ . r a . w 1 n
አዝናኝ	?1z6n4J6	? a z . n a J J
አዝኗል	?1z6nw4l6	? a z . nw a l
አዟችሁ	?1zw4c6h2	? a . zw a tS . tS 1 . h u
አየሁ	?1y1h2	? a j . j @ . h u
አየሁልሽ	?1y1h2l6sh6	? a j . j @ . h u l . l 1 S
አየሁት	?1y1h2t6	? a j . j @ . h u t
አየሁትና	?1y1h2t6n4	? a j . j @ . h u . t 1 n . n a
አየሁኝ	?1y1h2J6	? a j . j @ . h u J J
አየህ	?1y1h6	? a j . j @ h
አየር	?1y1r6	? a j . j @ r
አየሺው	?1y1sh3w6	? a j . j @ . S i w
አየሽ	?1y1sh6	? a j . j @ S
አየኋቸው	?1y1xw4c1w6	? a j . j @ . hw a tS . tS @ w
አየነው	?1y1n1w6	? a j . j @ . n @ w
አየኸው	?1y1kx1w6	? a j . j @ . h @ w
አየኸውና	?1y1kx1w6n4	? a j . j @ . h @ . w 1 n . n a
አየዋለሁ	?1y1w4l1h2	? a . j @ . w a l . l @ . h u
አየው	?1y1w6	? a j . j @ w
አዩሽም	?1y2sh6m6	? a j . j u . S 1 m m
አዩዋት	?1y2w4t6	? a j . j u . w a t
አያልቅም	?1y4l6K6m6	? a . j a l . k> 1 m m
አያልፉም	?1y4l6f2m6	? a . j a l . f u m m
አያልፍም	?1y4l6f6m6	? a . j a l . f 1 m m
አያመሽም	?1y4m1sh6m6	? a . j a . m @ . S 1 m m
አያምርም	?1y4m6r6m6	? a . j a m . r 1 m m
አያርፉትም	?1y4r6f2t6m6	? a . j a r . r 1 . f u . t 1 m m
አያርፍም	?1y4r6f6m6	? a . j a r . f 1 m m
አያሰጋቸውም	?1y4s1g4c1w6m6	? a . j a . s @ . g a tS . tS @ . w 1 m m
አያሳስበኝም	?1y4s4s6b1J6m6	? a . j a . s a s . s 1 . b @ J . J 1 m m
አያሳስትማ	?1y4s4s6t6m4	? a . j a s . s a s . t 1 m . m a
አያሳስትም	?1y4s4s6t6m6	? a . j a s . s a s . t 1 m m
አያሳትፍም	?1y4s4t6f6m6	? a . j a s . s a t . t 1 . f 1 m m
አያሳዝንም	?1y4s4z6n6m6	? a . j a . s a z . z 1 . n 1 m m
አያስቅም	?1y4s6K6m6	? a . j a s . s 1 . k> 1 m m
አያስቡልሽም	?1y4s6b2l6sh6m6	? a . j a s . s 1 . b u l . l 1 . S 1 m m
አያስተማምንም	?1y4s6t1m4m6n6m6	? a . j a s . t @ . m a m . m 1 . n 1 m m
አያስቸግርም	?1y4s6c1g6r6m6	? a . j a s . tS @ g . g 1 . r 1 m m
አያስችልሽም	?1y4s6c6l6sh6m6	? a . j a s . tS 1 l . S 1 m m
አያስገቡንም	?1y4s6g1b2n6m6	? a . j a s . g @ b . b u . n 1 m m
አያስገባሽም	?1y4s6g1b4sh6m6	? a . j a s . g @ b . b a . S 1 m m
አያስገባኝም	?1y4s6g1b4J6m6	? a . j a s . g @ b . b a J . J 1 m m
አያስፈልገንም	?1y4s6f1l6g1n6m6	? a . j a s . f @ l . l 1 . g @ . n 1 m m
አያስፈልጋት	?1y4s6f1l6g4t6	? a . j a s . f @ l . l 1 . g a t
አያስፈልግህም	?1y4s6f1l6g6h6m6	? a . j a s . f @ l . l 1 g . h 1 m m
አያስፈልግም	?1y4s6f1l6g6m6	? a . j a s . f @ l . l 1 . g 1 m m
አያቴ	?1y4t5	? a . j a . t e
አያትሽ	?1y4t6sh6	? a . j a . t 1 S
አያትዬ	?1y4t6y5	? a . j a . t 1 j . j e
አያቸዋለሁ	?1y4c1w4l1h2	? a . j a tS . tS @ . w a l . l @ . h u
አያችኋለሁ	?1y4c6xw4l1h2	? a . j a tS . tS 1 . hw a l . l @ . h u
አያነሱም	?1y4n1s2m6	? a . j a . n @ . s u m m
አያነሳም	?1y4n1s4m6	? a . j a . n @ . s a m m
አያካትትም	?1y4k4t6t6m6	? a . j a k . k a t . t 1 . t 1 m m
አያዋጣም	?1y4w4T4m6	? a . j a w . w a t> . t> a m m
አያውቀው	?1y4w6K1w6	? a . j a w . k> @ w
አያውቀውም	?1y4w6K1w6m6	? a . j a w . k> @ . w 1 m m
አያውቁም	?1y4w6K2m6	? a . j a w . k> u m m
አያውቅም	?1y4w6K6m6	? a . j a w . k> 1 m m
አያዩም	?1y4y2m6	? a . j a . j u m m
አያድርም	?1y4d6r6m6	? a . j a d . r 1 m m
አያገናኝም	?1y4g1n4J6m6	? a . j a g . g @ . n a J . J 1 m m
አያገኘኝም	?1y4g1J1J6m6	? a . j a . g @ J . J @ J . J 1 m m
አያገኝም	?1y4g1J6m6	? a . j a . g @ J . J 1 m m
አያገኝሽም	?1y4g1J6sh6m6	? a . j a . g @ J . J 1 . S 1 m m
አያጣላንም	?1y4T4l4n6m6	? a . j a t> . t> a l . l a . n 1 m m
አያጫውተኝም	?1y4C4w6t1J6m6	? a . j a tS> . tS> a w . w 1 . t @ J . J 1 m m
አዬ	?1y5	? a . j e	? a j . j e
አይ	?1y6	? a j
አይ_ቲ	?1y6_t3	? a j # t i
አይ_ቲማ	?1y6_t3m4	? a j # t i m . m a
አይ_ኪው	?1y6_k3w6	? a j # k i w
አይ_ዲ	?1y6_d3	? a j # d i
አይሄድም	?1y6h5d6m6	? a j . h e . d 1 m m
አይሆነውም	?1y6h7n1w6m6	? a j . h o . n @ . w 1 m m
አይሆን	?1y6h7n6	? a j . h o n
አይሆንለትም	?1y6h7n6l1t6m6	? a j . h o . n 1 l . l @ . t 1 m m
አይሆንም	?1y6h7n6m6	? a j . h o . n 1 m m
አይለቀውም	?1y6l1K1w6m6	? a j . l @ k> . k> @ . w 1 m m
አይለቁኝም	?1y6l1K2J6m6	? a j . l @ k> . k> u J . J 1 m m
አይለቅሽም	?1y6l1K6sh6m6	? a j . l @ k> . k> 1 . S 1 m m
አይለኝም	?1y6l1J6m6	? a j . l @ J . J 1 m m
አይሉህም	?1y6l2h6m6	? a j . l u . h 1 m m
አይሉኝም	?1y6l2J6m6	? a j . l u J . J 1 m m
አይልም	?1y6l6m6	? a j . l 1 m m
አይሎ	?1y6l7	? a j . j 1 . l o
አይመለስም	?1y6m1l1s6m6	? a . j 1 m . m @ l . l @ . s 1 m m
አይመለከተኝም	?1y6m1l1k1t1J6m6	? a . j 1 m . m @ . l @ k . k @ . t @ J . J 1 m m
አይመለከታቸውም	?1y6m1l1k1t4c1w6m6	? a . j 1 m . m @ . l @ k . k @ . t a tS . tS @ . w 1 m m
አይመለከትህም	?1y6m1l1k1t6h6m6	? a . j 1 m . m @ . l @ k . k @ t . h 1 m m
አይመስለንም	?1y6m1s6l1n6m6	? a j . m @ s . l @ . n 1 m m	? a j . m @ s . s 1 . l @ . n 1 m m
አይመስለኝ	?1y6m1s6l1J6	? a j . m @ s . l @ J J
አይመስለኝም	?1y6m1s6l1J6m6	? a j . m @ s . l @ J . J 1 m m
አይመስለውም	?1y6m1s6l1w6m6	? a j . m @ s . s 1 . l @ . w 1 m m	? a j . m @ s . l @ . w 1 m m
አይመስላትም	?1y6m1s6l4t6m6	? a j . m @ s . l a . t 1 m m
አይመቸንም	?1y6m1c1n6m6	? a . j 1 m . m @ tS . tS @ . n 1 m m
አይመቸኝም	?1y6m1c1J6m6	? a . j 1 m . m @ tS . tS @ J . J 1 m m
አይመቻትም	?1y6m1c4t6m6	? a . j 1 m . m @ tS . tS a . t 1 m m
አይመቻቸውም	?1y6m1c4c1w6m6	? a . j 1 m . m @ tS . tS a tS . tS @ . w 1 m m
አይመች	?1y6m1c6	? a . j 1 m . m @ tS tS
አይመችም	?1y6m1c6m6	? a . j 1 m . m @ tS . tS 1 m m
አይመችሽ	?1y6m1c6sh6	? a . j 1 m . m @ tS . tS 1 S
አይመችሽም	?1y6m1c6sh6m6	? a . j 1 m . m @ tS . tS 1 . S 1 m m
አይመጡም	?1y6m1T2m6	? a j . m @ . t> u m m	? a j . m @ t> . t> u m m
አይመጣ	?1y6m1T4	? a . j 1 m . m @ t> . t> a	? a j . m @ . t> a
አይመጣም	?1y6m1T4m6	? a j . m @ . t> a m m
አይማርም	?1y6m4r6m6	? a . j 1 m . m a . r 1 m m
አይምሰልህ	?1y6m6s1l6h6	? a . j 1 m . s @ . l 1 h
አይሞላ	?1y6m7l4	? a . j 1 m . m o l . l a	? a j . m o . l a
አይሞላም	?1y6m7l4m6	? a . j 1 m . m o l . l a m m	? a j . m o . l a m m
አይሞቀው	?1y6m7K1w6	? a j . m o . k> @ w
አይሠራ	?1y6sz1r4	? a . j 1 s . s @ r . r a	? a j . s @ . r a
አይሠራም	?1y6sz1r4m6	? a . j 1 s . s @ r . r a m m	? a j . s @ . r a m m
አይረሳም	?1y6r1s4m6	? a j . r @ . s a m m	? a . j 1 r . r @ s . s a m m
አይርቅም	?1y6r6K6m6	? a j . r 1 . k> 1 m m
አይሰማህም	?1y6s1m4h6m6	? a . j 1 s . s @ m . m a . h 1 m m	? a j . s @ . m a . h 1 m m
አይሰማም	?1y6s1m4m6	? a . j 1 s . s @ m . m a m m	? a j . s @ . m a m m
አይሰማምሽም	?1y6s1m4m6sh6m6	? a j . s @ . m a m . S 1 m
አይሰማሽ	?1y6s1m4sh6	? a . j 1 s . s @ . m a S	? a . j 1 s . s @ m . m a S	? a j . s @ . m a S
አይሰማሽም	?1y6s1m4sh6m6	? a . j 1 s . s @ m . m a . S 1 m m	? a j . s @ . m a . S 1 m m
አይሰማኝም	?1y6s1m4J6m6	? a . j 1 s . s @ m . m a J . J 1 m m	? a j . s @ . m a J . J 1 m m
አይሰሩም	?1y6s1r2m6	? a . j 1 s . s @ r . r u m m	? a j . s @ . r u m m
አይሰራልኝም	?1y6s1r4l6J6m6	? a . j 1 s . s @ r . r a l . l 1 J . J 1 m m	? a j . s @ . r a l . l 1 J . J 1 m m
አይሰጡም	?1y6s1T2m6	? a . j 1 s . s @ t> . t> u m m	? a j . s @ . t> u m m
አይሰጡሽም	?1y6s1T2sh6m6	? a . j 1 s . s @ t> . t> u . S 1 m m	? a j . s @ . t> u . S 1 m m
አይሰጥም	?1y6s1T6m6	? a . j 1 s . s @ t> . t> 1 m m	? a j . s @ . t> 1 m m
አይሱዙ	?1y6s2z2	? a j . s u . z u
አይሱዚ	?1y6s2z3	? a j . s u . z i
አይሳትም	?1y6s4t6m6	? a . j 1 s . s a . t 1 m m
አይሳካልኝም	?1y6s4k4l6J6m6	? a . j 1 s . s a k . k a l . l 1 J . J 1 m m
አይስማ	?1y6s6m4	? a . j 1 s . m a
አይስማማም	?1y6s6m4m4m6	? a . j 1 s . m a m . m a m m
አይስማም	?1y6s6m4m6	? a . j 1 s . m a m m
አይሸትም	?1y6sh1t6m6	? a j . S @ t . t 1 m m
አይሻለሁ	?1y6sh4l1h2	? a . j 1 . S a l . l @ . h u
አይሻልህም	?1y6sh4l6h6m6	? a . j 1 S . S a l . h 1 m m
አይሻልም	?1y6sh4l6m6	? a . j 1 S . S a . l 1 m m
አይሻማሽም	?1y6sh4m4sh6m6	? a . j 1 S . S a m . m a . S 1 m m
አይቀሩም	?1y6K1r2m6	? a j . k> @ . r u m m
አይቀር	?1y6K1r6	? a . j 1 k> . k> @ r r	? a j . k> @ r
አይቀርም	?1y6K1r6m6	? a . j 1 k> . k> @ r . r 1 m m	? a j . k> @ . r 1 m m
አይቀበልም	?1y6K1b1l6m6	? a . j 1 k> . k> @ b . b @ . l 1 m m
አይቀየምም	?1y6K1y1m6m6	? a . j 1 k> . k> @ j . j @ . m 1 m m
አይቆረፍድም	?1y6K7r1f6d6m6	? a j . k> o . r @ f . f 1 . d 1 m m
አይበላም	?1y6b1l4m6	? a . j 1 b . b @ l . l a m	? a j . b @ . l a m
አይበርደው	?1y6b1r6d1w6	? a j . b @ r . d @ w
አይበቃህም	?1y6b1K4h6m6	? a j . b @ . k> a . h 1 m m
አይበቃም	?1y6b1K4m6	? a j . b @ . k> a m m
አይበቃንም	?1y6b1K4n6m6	? a j . b @ . k> a . n 1 m m
አይበቃኝም	?1y6b1K4J6m6	? a j . b @ . k> a J . J 1 m m
አይበጡም	?1y6b1T2m6	? a . j 1 b . b @ t> . t> u m m	? a j . b @ . t> u m m
አይባል	?1y6b4l6	? a . j 1 b . b a l
አይባልም	?1y6b4l6m6	? a . j 1 b . b a . l 1 m m
አይተሀል	?1y6t1h1l6	? a j . t @ . h a l
አይተህ	?1y6t1h6	? a j . t @ h
አይተሻል	?1y6t1sh4l6	? a j . t @ . S a l
አይተሻት	?1y6t1sh4t6	? a j . t @ . S a t
አይተሻቸዋል	?1y6t1sh4c1w4l6	? a j . t @ . S a tS . tS @ . w a l
አይተነዋል	?1y6t1n1w4l6	? a j . t @ . n @ . w a l
አይተን	?1y6t1n6	? a j . t @ n
አይተኸዋል	?1y6t1kx1w4l6	? a j . t @ . h @ . w a l
አይተኸው	?1y6t1kx1w6	? a j . t @ . h @ w
አይተው	?1y6t1w6	? a j . t @ w
አይተውም	?1y6t1w6m6	? a . j 1 t . t @ . w 1 m m	? a j . t @ . w 1 m m
አይተውሽ	?1y6t1w6sh6	? a j . t @ . w 1 S
አይታ	?1y6t4	? a j . t a
አይታመምም	?1y6t4m1m6m6	? a . j 1 t . t a m . m @ . m 1 m m
አይታሰብም	?1y6t4s1b6m6	? a . j 1 t . t a s . s @ . b 1 m m
አይታሰብባችሁም	?1y6t4s1b6b4c6h2m6	? a . j 1 t . t a s . s @ . b 1 b . b a tS . tS 1 . h u m m
አይታችሁ	?1y6t4c6h2	? a j . t a tS . tS 1 . h u
አይታችኋትናል	?1y6t4c6xw4t6n4l6	? a j . t a tS . tS 1 . hw a . t 1 . n a l
አይታኛለች	?1y6t4J4l1c6	? a j . t a J . J a l . l @ tS tS
አይታወቅ	?1y6t4w1K6	? a . j 1 t . t a w . w @ k>
አይታወቅም	?1y6t4w1K6m6	? a . j 1 t . t a w . w @ . k> 1 m m
አይቶ	?1y6t7	? a j . t o
አይቶልኝ	?1y6t7l6J6	? a j . t o l . l 1 J J
አይቷቸው	?1y6tw4c1w6	? a j . tw a tS . tS @ w
አይቸገርም	?1y6c1g1r6m6	? a . j 1 tS . tS @ g . g @ . r 1 m m
አይቻለሁ	?1y6c4l1h2	? a . j 1 tS . tS a l . l @ . h u
አይቻልም	?1y6c4l6m6	? a . j 1 tS . tS a . l 1 m m
አይቻታለሁ	?1y6c4t4l1h2	? a . j 1 tS . tS a . t a l . l @ . h u
አይቼ	?1y6c5	? a . j 1 tS . tS e
አይቼም	?1y6c5m6	? a . j 1 tS . tS e m m
አይቼዋለሁ	?1y6c5w4l1h2	? a . j 1 tS . tS e . w a l . l @ . h u
አይቼው	?1y6c5w6	? a . j 1 tS . tS e w
አይችሉም	?1y6c6l2m6	? a j . tS 1 . l u m m
አይችልም	?1y6c6l6m6	? a j . tS 1 . l 1 m m
አይነገርም	?1y6n1g1r6m6	? a . j 1 n . n @ g . g @ . r 1 m m
አይኑረው	?1y6n2r1w6	? a j . n u . r @ w
አይኑራት	?1y6n2r4t6	? a j . n u . r a t
አይናገርም	?1y6n4g1r6m6	? a . j 1 n . n a g . g @ . r 1 m m
አይናፍቀውም	?1y6n4f6K1w6m6	? a j . n a f . f 1 . k> @ . w 1 m m
አይኖሩም	?1y6n7r2m6	? a j . n o . r u m m
አይኖርህም	?1y6n7r6h6m6	? a j . n o r . h 1 m m
አይኖርም	?1y6n7r6m6	? a . j 1 n . n o . r 1 m m	? a j . n o . r 1 m m
አይከሱትማ	?1y6k1s2t6m4	? a j . k @ s . s u . t 1 m . m a
አይከብደው	?1y6k1b6d1w6	? a j . k @ b . d @ w
አይከብድም	?1y6k1b6d6m6	? a j . k @ b . d 1 m m
አይከፈልም	?1y6k1f1l6m6	? a . j 1 k . k @ f . f @ . l 1 m m
አይከፍልም	?1y6k1f6l6m6	? a j . k @ f . l 1 m m
አይወስደኝም	?1y6w1s6d1J6m6	? a j . w @ s . d @ J . J 1 m m
አይወዱም	?1y6w1d2m6	? a j . w @ d . d u m m
አይወድም	?1y6w1d6m6	? a j . w @ d . d 1 m m
አይወድቅም	?1y6w1d6K6m6	? a j . w @ d . k> 1 m m
አይወጋም	?1y6w1g4m6	? a . j 1 w . w @ g . g a m m	? a j . w @ . g a m m
